Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Caramunich I (Weyermann),Germany,,34.5,0,1.036,10,"German crystal malt. Adds maltiness, flavor, color and aroma."
Caramunich I (Weyermann),Germany,,51,0,1.036,10,"German crystal malt. Adds maltiness, flavor, color and aroma."
CaraMunich III,German,,57,0,0.000,0,
Caramunich III (Weyermann),Germany,,71,0,1.037,10,"German crystal malt. Adds maltiness, body, aroma and color."
Caramunich III (Weyermann),Germany,,71,0,1.037,10,"German crystal malt. Adds maltiness, body, aroma and color."
Caramunich III (Weyermann),Germany,,71,0,1.037,10,"German crystal malt. Adds maltiness, body, aroma and color."
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Caramunich III (Weyermann),Germany,,71,0,1.037,10,"German crystal malt. Adds maltiness, body, aroma and color."
Caramunich Malt,Belgium,,56,0,1.033,10,"Caramel, copper colored malt. Used in Belgian ales and German bocks."
Carapils (Briess),US,,1.5,0,1.034,0,"FLAVOR: None COLOR: None ITEM NUMBERS AND PACKAGING OPTIONS adds body, foam retention, and beer stability without influencing color or flavor. non-fermentables to balance body and flavor of dark beers Low usage of 1-5% will help achieve desired resu"
Carapils (Briess),US,,1.5,0,1.034,0,"FLAVOR: None COLOR: None ITEM NUMBERS AND PACKAGING OPTIONS adds body, foam retention, and beer stability without influencing color or flavor. non-fermentables to balance body and flavor of dark beers Low usage of 1-5% will help achieve desired resu"
Carapils (Briess),US,,1.5,0,1.034,0,"FLAVOR: None COLOR: None ITEM NUMBERS AND PACKAGING OPTIONS adds body, foam retention, and beer stability without influencing color or flavor. non-fermentables to balance body and flavor of dark beers Low usage of 1-5% will help achieve desired resu"
Carapils (Briess),US,,1.5,0,1.034,0,"FLAVOR: None COLOR: None ITEM NUMBERS AND PACKAGING OPTIONS adds body, foam retention, and beer stability without influencing color or flavor. non-fermentables to balance body and flavor of dark beers Low usage of 1-5% will help achieve desired resu"
Carapils (Dextrine Malt),American,,1.8,0,0.000,0,
Carapils 6-Row (Briess),US,,1.3,0,1.034,0,"FLAVOR: NoneCOLOR: NoneITEM NUMBERS AND PACKAGING OPTIONSadds body, foam retention, and beer stability without influencing color or flavor.non-fermentables to balance body and flavor of dark beersLow usage of 1-5% will help achieve desired resu"
Carared,US,,20,0,1.035,20,"Adds body, color and improves head retention. Also called ""Crystal"" malt."
Caravienne Malt,Belgium,,22,0,1.034,10,Light Belgian crystal malt. Used in light Trappist and Abbey style Belgian ales.
CHÂTEAU SPELT,Belgium,,3.55,0,1.000,0,"Features: Château Spelt is a pale, well-modified type of malt. Made from a hard-grained species of wheat (heirloom wheat), it has a higher protein level when compared to other wheat malts. Characteristics: Château Spelt malt imparts a sweet nutty flavor, adds a spicy aroma and an earthy character to your beer. Great for Belgian Saison and Wheat beer styles. Usage: Belgian saison, wheat beers, special beers. 3 –7 EBC (European Brewing Convention) 1.7 –3.2 °L (Lovibond) Moisture % 6.0 Extract (dry basis) % 79 Wortcolour EBC (°L) 3 (1.7) -7 (3.2) Total Protein (dry malt) % 17.0"
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
CHÂTEAU SPELT,Belgium,,3.55,0,1.000,0,"Features: Château Spelt is a pale, well-modified type of malt. Made from a hard-grained species of wheat (heirloom wheat), it has a higher protein level when compared to other wheat malts. Characteristics: Château Spelt malt imparts a sweet nutty flavor, adds a spicy aroma and an earthy character to your beer. Great for Belgian Saison and Wheat beer styles. Usage: Belgian saison, wheat beers, special beers. 3 –7 EBC (European Brewing Convention) 1.7 –3.2 °L (Lovibond) Moisture % 6.0 Extract (dry basis) % 79 Wortcolour EBC (°L) 3 (1.7) -7 (3.2) Total Protein (dry malt) % 17.0"
CHÂTEAU SPELT,Belgium,,3.55,0,1.000,0,"Features: Château Spelt is a pale, well-modified type of malt. Made from a hard-grained species of wheat (heirloom wheat), it has a higher protein level when compared to other wheat malts. Characteristics: Château Spelt malt imparts a sweet nutty flavor, adds a spicy aroma and an earthy character to your beer. Great for Belgian Saison and Wheat beer styles. Usage: Belgian saison, wheat beers, special beers. 3 –7 EBC (European Brewing Convention) 1.7 –3.2 °L (Lovibond) Moisture % 6.0 Extract (dry basis) % 79 Wortcolour EBC (°L) 3 (1.7) -7 (3.2) Total Protein (dry malt) % 17.0"
Chocolate (Briess),US,,350,0,1.035,0,"FLAVOR: Rich Roasted Coffee COLOR: Brown Hues, depending upon usage color adj with minor/no flavor contribution 1-10% for color in Porter &Stout The choc flavor is very complementary when used in higher % in Brown Ales, Porters, Stouts & other Dark"
Chocolate (Dingemans),Belgium,,340,0,1.030,50,
Chocolate Malt,US,,350,0,1.028,10,"Dark malt that gives a rich red or brown color and nutty flavor. Use for: Brown ales, porters, some stouts Maintains some malty flavor, not as dark as roasted malt."
Chocolate Malt,United Kingdom,,450,0,1.034,10,"Dark malt that gives a rich red or brown color and nutty flavor. Use for: Brown ales, porters, some stouts Maintains some malty flavor, not as dark as roasted malt."
Chocolate Malt (Muntons),US,,385,0,1.028,10,"Dark malt that gives a rich red or brown color and nutty flavor. Use for: Brown ales, porters, some stouts Maintains some malty flavor, not as dark as roasted malt."
Chocolate Malt (Muntons),US,,385,0,1.028,10,"Dark malt that gives a rich red or brown color and nutty flavor. Use for: Brown ales, porters, some stouts Maintains some malty flavor, not as dark as roasted malt."
Chocolate Malt (Thomas Fawcett),United Kingdom,,508,0,1.034,10,Dark chocolate malt from the UK. Adds strong coffee flavor to your beer.
"Chocolate Malt, Pale",US,,225,0,1.028,10,"Dark malt that gives a rich red or brown color and nutty flavor. Use for: Brown ales, porters, some stouts Maintains some malty flavor, not as dark as roasted malt. Lighter than normal chocolate malt."
Chocolate Rye Malt,Germany,,250,0,1.031,5,Primarily used for color and aroma in top-fermented specialty beers.
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Chocolate Wheat Malt,Germany,,400,0,1.033,5,Intensifies aroma and color in top-fermented beers such as dark wheat beers.
"Corn - Yellow, Flaked (Briess)",US,,1.3,0,1.039,0,"produce a beer with a mild, less malty flavor produce a drier, more crisp beer. APPLICATIONS Use up to 40% as a cereal adjunct in the total grist"
"Corn - Yellow, Flaked (Briess)",US,,1.3,0,1.039,0,"produce a beer with a mild, less malty flavor produce a drier, more crisp beer. APPLICATIONS Use up to 40% as a cereal adjunct in the total grist"
"Corn, Flaked",US,X,1.3,0,1.037,40,"Generally a neutral flavor, used to reduce maltiness of beer Produces beer with a milder, less malty flavor Uses: Primarily for light Bohemian and Pilsner lagers"
Crisp Crystal 77L,US,,77,0,1.034,20,"Adds body, color and improves head retention. Also called ""Crystal"" malt."
"Crystal 40, 2-Row, (Great Western)",US,,40,0,1.032,25,Crystal 40 (35-45°L)A fully modified and saccharified two-row crystal malt roasted to a target color of 40° ASBC. A versatile malt providing moderate color and caramel flavor.
"Crystal 60, 2-Row, (Great Western)",US,,60,0,1.032,15,Crystal 60 (55-65°L) Similar to C40 but with a more extensive roasting to a target color of 60° ASBC. Has a more pronounced caramel flavor to coincide with the color.
"Crystal 60, 2-Row, (Great Western)",US,,60,0,1.032,15,Crystal 60 (55-65°L) Similar to C40 but with a more extensive roasting to a target color of 60° ASBC. Has a more pronounced caramel flavor to coincide with the color.
Crystal 60L,United Kingdom,,60,0,0.000,0,
Crystal 70/80L,United Kingdom,,75,120,1.035,20,
Crystal Malt - 60L (Thomas Fawcett),United Kingdom,,60,0,1.034,10,Caramel or crystal malt from Thomas Fawcett. Adds Toffee caramel flavor. Improves head retention and body.
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Crystal Malt - 60L (Thomas Fawcett),United Kingdom,,60,0,1.034,10,Caramel or crystal malt from Thomas Fawcett. Adds Toffee caramel flavor. Improves head retention and body.
"Crystal, Dark (Simpsons)",UK,,80,0,1.035,10,"Contributes a strong reddish hue to milds, brown ales, and other dark beers. The long kilning of this malt imparts a roasty edge on top of the malty sweetness of a crystal malt."
"Crystal, Extra Dark (Simpsons)",UK,,160,0,1.035,10,Very dark English crystal malt with deep amber color and burnt sugar and dark fruit flavors.
"Crystal, Medium (Simpsons)",UK,,55,0,1.035,20,Versatile English crystal malt imparts a rich gold to copper-red color and caramel flavor and increases foam stability.
"Crystal, Medium (Simpsons)",UK,,55,0,1.035,20,Versatile English crystal malt imparts a rich gold to copper-red color and caramel flavor and increases foam stability.
"English Crystal, 50-60 L",,,55,0,1.034,0,
Floor-Malted Bohemian Pilsner,German,,1.8,0,0.000,0,
Golden Promise (Simpsons),UK,,2,120,1.038,100,Great base malt that produces a sweet and clean wort. An integral ingredient in Scottish ales and lagers.
Home Roasted Pilsner,Florida,,200,0,1.030,10,Extreme caramel aroma and flavored malt. Used in dark Belgian Abbey and Trappist ales. Unique flavor and aroma.
Home Toasted/Roasted Munich Malt,United Kingdom,,27,0,1.033,10,Toasted in oven at 350 degrees for 30 minutes
Home Toasted/Roasted Munich Malt,United Kingdom,,27,0,1.033,10,Toasted in oven at 350 degrees for 30 minutes
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Honey Malt,Canada,X,25,0,1.037,10,Intensely sweet - adds a sweet malty flavor sometimes associated with honey. Also called Brumalt.
Honey Malt (Gambrinus),Canada,,25,50,1.038,20,"This malt is similar in style to German “brumalt”, but it really doesn’t compare to any other malt with its honey-like taste and residual sweetness. Best used in brown ales, porters, and stouts."
Kolsch Malt,Germany,X,4.5,60,1.037,100,For brewing Kolsch-type beers. This malt is produced only in the Cologne region of Germany.
Lager Malt,,X,2,100,1.038,100,"Very light lager malt used to make Pilsners, Lagers and other light beers. May be used as a base malt."
Light Roasted Barley (Briess),US,,300,0,1.033,0,"FLAVOR: Coffee, Intense Bitter COLOR: Red to Deep Brown Use 3-7% for coffee flavor in Porter and Stout Use 2-5% in Nut Brown Ales. Use Chocolate Malt or Black Malt in combination with Roasted Barley to obtain desired color."
Maris Otter (Crisp),United Kingdom,,4,50,1.038,100,"Premium base malt from the UK. Popular for many English styles of beer including ales, pale ales and bitters."
Maris Otter (Crisp),United Kingdom,,4,50,1.038,100,"Premium base malt from the UK. Popular for many English styles of beer including ales, pale ales and bitters."
Maris Otter Ale Malt,,,4,0,0.000,0,
Maris Otter Malt (Muntons),United Kingdom,,3,62,1.036,100,"Muntons Maris Otter malt is a 2-row winter variety of barley specially bred for use in the brewing industry. It has a low nitrogen content and high quality malt characteristics which give beers a lush, full flavor profile. It is generally regarded as having a more rich maltiness than standard American 2-row varieties that have been bred specifically for yield. Plump kernels with good husks for filtration, Maris Otter has a breadiness that goes well in British style ales, but may be used in any recipe where more malt character and a more rounded flavor are desired."
Maris Otter Pale,United Kingdom,,3.75,0,0.000,0,
Melanoiden Malt,Germany,X,20,10,1.037,15,"Aromatic malt from Banberg, Germany. Promotes a full flavor and rounds off beer color. Promotes deep red color and malty flavor."
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Melanoidin (Weyermann),Germany,,27,0,1.037,20,"Red colored malt that improved head retention and stability. Used in red lagers, ales, dark beers. Intense red colour and malty aroma."
Melanoidin (Weyermann),Germany,,30,0,1.037,20,"Red colored malt that improved head retention and stability. Used in red lagers, ales, dark beers. Intense red colour and malty aroma."
MFB Pilsen,France,,1.8,120,1.036,100,
Mild Malt,United Kingdom,X,4,53,1.037,100,"Also called ""English Mild"" - a light specialty malt used in Brown Ales"
Munich (BestMälz),Germany,,7.6142132,150,1.035,100,"BEST Munich intensifies the color of the beer. It emphasizes the malt aroma of dark beer in an exciting way. It forms an excellent enzyme-rich foundation for all color-intensive beer styles. This malt is produced using a special malting process designed to bring out certain desirable qualities, such as high solubility."
Munich 10L (Briess),US,,7,40,1.035,100,FLAVOR: Robust MaltyCOLOR: Golden to Orange HuesAdds a pronounced malty flavor without adding non-fermentables or affecting foam.Small amounts added to the grist will improve the malty flavor and give a richer color to low gravity brews.
Munich 10L (Briess),US,,10,40,1.035,100,FLAVOR: Robust Malty COLOR: Golden to Orange Hues Adds a pronounced malty flavor without adding non-fermentables or affecting foam. Small amounts added to the grist will improve the malty flavor and give a richer color to low gravity brews.
Munich 10L (Gambrinus),US,,10,50,1.035,80,"Malty-sweet flavor characteristic and adds a slight orange color to the beer. Does not contribute signficantly to body or head retention. Use for: Bock, Porter, Marzen, Oktoberfest beers"
Munich Dark (BestMälz),Germany,,12.6903553,150,1.035,100,"BEST Munich Dark gives a pleasant full-bodied and malty flavor. The impact when using this darker malt is similar to BEST Munich: the color is even more intensified, the malt aroma is strengthened. Enzyme richness of this malt offers opportunities for brewing strongly colored beers. The production process for this malt is similar to the lighter variant of our BEST Munich."
Munich I (Weyermann),Germany,,7.1,50,1.038,100,"Light Munich malt. May be used as a base for many German beer styles. Fest beers, bocks, ales. Enhances malty flavour and aroma"
Munich I (Weyermann),Germany,,7,5,1.000,1,"Light Munich malt. May be used as a base for many German beer styles. Fest beers, bocks, ales. Enhances malty flavour and aroma"
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Munich Light,German,,6,0,0.000,0,
Munich Malt,Germany,X,9,72,1.037,80,"Malty-sweet flavor characteristic and adds a reddish amber color to the beer. Does not contribute signficantly to body or head retention. Use for: Bock, Porter, Marzen, Oktoberfest beers"
Munich Malt (Great Western),Canada,,9,90,1.037,100,"This mellow kilned malt is ideal where unique malt flavor and rich aroma, is sought."
Munich Malt - 10L,US,X,10,50,1.035,80,"Malty-sweet flavor characteristic and adds a slight orange color to the beer. Does not contribute signficantly to body or head retention. Use for: Bock, Porter, Marzen, Oktoberfest beers"
Munich Malt - 20L,US,X,20,25,1.035,80,"Malty-sweet flavor characteristic and adds a orange to deep orange color to the beer. Does not contribute signficantly to body or head retention. Use for: Bock, Porter, Marzen, Oktoberfest beers"
"Munich Malt, Light (Weyermann)",Germany,,5.5,72,1.037,80,"Malty-sweet flavor characteristic and adds a reddish amber color to the beer. Does not contribute signficantly to body or head retention. Use for: Bock, Porter, Marzen, Oktoberfest beers"
"Munich Malt, Light (Weyermann)",Germany,,5.5,72,1.037,80,"Malty-sweet flavor characteristic and adds a reddish amber color to the beer. Does not contribute signficantly to body or head retention. Use for: Bock, Porter, Marzen, Oktoberfest beers"
"Oats, Flaked",US,X,1,0,1.037,30,"Adds body, mouth feel and head retention to the beer Used in oatmeal stouts and porters Adds substantial protein haze to light beers Protein rest recommended unless flakes are pregelatinized"
"Oats, Flaked (toasted)",US,X,15,0,1.037,30,"Adds body, mouth feel and head retention to the beer Used in oatmeal stouts and porters Adds substantial protein haze to light beers Protein rest recommended unless flakes are pregelatinized"
"Oats, Golden Naked (Simpsons)",UK,,10,0,1.032,15,"This unique product from Simpsons has a special, sweet berry-nut flavor. Used at a rate of 4-15% of total grist by weight, Golden Naked Oats will deliver a deep golden hue with light caramel flavors to the finished beer as well as a creamy, satin finish."
"Oats, Malted",US,X,1,0,1.037,10,"Malted oats. Adds body, mouth feel and head retention to the beer Creates chill haze in lighter beers, so is primarily used in dark ones."
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Pale 2-Row,American,,1.8,0,0.000,0,
Pale 2-Row,American,,1.8,0,0.000,0,
Pale 2-Row,American,,1.8,0,0.000,0,
Pale 6-Row,American,,1.8,0,0.000,0,
Pale Ale Malt,US,X,3.5,85,1.036,100,"A US alternative to British or Belgian pale ale malts. Slightly darker than 2-row. Yields richer, maltier flavors than standard 2-row."
Pale Ale Malt 2-Row (Briess),US,,3.5,85,1.037,100,Flavor:MaltyColor Golden HuesCan be used as a base malt.More pronounced malty flavor than 2-Row Brewers Malt.Use with 2-Row Brewers Malt for rich malt flavor and additional color.
Pale Ale Malt 2-Row (Briess),US,,3.5,85,1.037,100,Flavor:Malty Color Golden Hues Can be used as a base malt. More pronounced malty flavor than 2-Row Brewers Malt. Use with 2-Row Brewers Malt for rich malt flavor and additional color.
Pale Ale Malt 2-Row (Briess),US,,3.5,85,1.037,100,Flavor:Malty Color Golden Hues Can be used as a base malt. More pronounced malty flavor than 2-Row Brewers Malt. Use with 2-Row Brewers Malt for rich malt flavor and additional color.
"Pale Ale Malt, Full Pint (Great Western)",US,,2.25,158,1.037,100,"GWM Full Pint Malt (2.0-2.5L) A spring 2-row barley developed at Oregon State University (originally named BCD-47). Described as ""very fermentable and having a very nice extract... Full Pint wort also tasted very good, pre and post boiled... a very pleasant and strong fresh salted popcorn note. A very positive clean sweetness as well, with no harshness or astringency... the fermented Full Pint beer was clean, slightly estery, a bit tart and bready."""
"Pale Ale Malt, Full Pint (Great Western)",US,,2.25,158,1.037,100,"GWM Full Pint Malt (2.0-2.5L) A spring 2-row barley developed at Oregon State University (originally named BCD-47). Described as ""very fermentable and having a very nice extract... Full Pint wort also tasted very good, pre and post boiled... a very pleasant and strong fresh salted popcorn note. A very positive clean sweetness as well, with no harshness or astringency... the fermented Full Pint beer was clean, slightly estery, a bit tart and bready."""
Pale Chocolate,UK,,225,0,1.028,10,"Dark malt that gives a rich red or brown color and nutty flavor. Use for: Brown ales, porters, some stouts Maintains some malty flavor, not as dark as roasted malt."
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Pale Chocolate Malt,UK,,250,0,1.033,10,
Pale Malt (2 Row) Belgian,Belgium,X,3,60,1.037,100,"Base malt for all beer styles Higher potential yield than US, English equivalent pale ale malts"
Pale Malt (2 Row) UK,United Kingdom,X,3,45,1.036,100,Base malt for all English beer styles Lower diastatic power than American 2 Row Pale Malt
Pale Malt (2 Row) US,US,X,2,120,1.036,100,Base malt for all beer styles
"Pale Malt (2 Row), NW Pale",US,,2,140,1.036,100,Base malt for all beer styles
Pale Malt (6 Row) US,US,X,2,150,1.035,100,Base malt for all beer styles
"Pale Malt, Golden Promise",United Kingdom,X,2.5,70,1.037,100,"Malt from a traditional barley variety grown in Scotland. Golden Promise produces a mellow wort, with a sweet, clean flavor. This base malt is a must for authentic Scottish ales, great for English styles as well."
"Pale Malt, Golden Promise (Thomas Fawcett)",United Kingdom,,3,120,1.038,100,Floor malted spring barley from the UK. Suitable base male for all types of ales.
"Pale Malt, Halcyon",United Kingdom,X,2.5,70,1.037,100,"Halcyon Pale Ale Malt is considered to be one of the last remaining traditional English Pale Malts. Adds a degree of biscuit flavor to the beer. Brighter and lighter in flavor than Pearl, Halcyon is a great malt for the production of Real Ales. It tends to produce a less sweet wort than Maris Otter."
"Pale Malt, Maris Otter",United Kingdom,X,3,120,1.038,100,"Premium base malt from the UK. Popular for many English styles of beer including ales, pale ales and bitters."
Peat Smoked Malt,United Kingdom,X,2.8,0,1.034,20,Robust smoky malt that provides a smoky flavor. Used in scottish ales and wee heavy ales.
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Pilsen (BestMälz),Germany,,1.5228426,329,1.036,100,"BEST Pilsen Malt gives beer a fresh and rounded taste. It is used for all types of beers based on basically barley malt. It forms an excellent “light” and enzyme-rich foundation for almost all beer styles. Malt characteristics: low protein levels, high extract content, light color and high enzymatic activity. BEST Pilsen Malt is also available in organic quality."
Pilsen (BestMälz),Germany,,1.5228426,329,1.036,100,"BEST Pilsen Malt gives beer a fresh and rounded taste. It is used for all types of beers based on basically barley malt. It forms an excellent “light” and enzyme-rich foundation for almost all beer styles. Malt characteristics: low protein levels, high extract content, light color and high enzymatic activity. BEST Pilsen Malt is also available in organic quality."
Pilsen (BestMälz),Germany,,1.5228426,329,1.036,100,"BEST Pilsen Malt gives beer a fresh and rounded taste. It is used for all types of beers based on basically barley malt. It forms an excellent “light” and enzyme-rich foundation for almost all beer styles. Malt characteristics: low protein levels, high extract content, light color and high enzymatic activity. BEST Pilsen Malt is also available in organic quality."
Pilsen (BestMälz),Germany,,1.5228426,329,1.036,100,"BEST Pilsen Malt gives beer a fresh and rounded taste. It is used for all types of beers based on basically barley malt. It forms an excellent “light” and enzyme-rich foundation for almost all beer styles. Malt characteristics: low protein levels, high extract content, light color and high enzymatic activity. BEST Pilsen Malt is also available in organic quality."
Pilsen (BestMälz),Germany,,1,3,1.000,1,"BEST Pilsen Malt gives beer a fresh and rounded taste. It is used for all types of beers based on basically barley malt. It forms an excellent “light” and enzyme-rich foundation for almost all beer styles. Malt characteristics: low protein levels, high extract content, light color and high enzymatic activity. BEST Pilsen Malt is also available in organic quality."
Pilsen (Dingemans),Belgium,,1.6,90,1.037,100,
Pilsen (Dingemans),Belgium,,1.6,90,1.037,100,
Pilsen (Dingemans),Belgium,,1.6,90,1.037,100,
Pilsner (2 Row) Belgian,Belgium,X,2,105,1.036,100,Belgian base malt for Continental lagers
Pilsner (2 Row) German,Germany,X,2,110,1.037,100,German base for Pilsners and Bohemian Lagers
Pilsner (2 Row) UK,United Kingdom,X,1,60,1.036,100,Pilsner base malt
Grain,Origin,Mash?,Color,Power,Potential,Max %,Notes
Pilsner (Weyermann),Germany,,1.7,110,1.038,100,"Pilsner base malt for all pilsners, lagers. Highly modified malt."
