Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
WLP025 Southwold Ale,White Labs,Ale,Liquid,66°F - 69°F,71.5%,Medium,"From Suffolk county. Products complex fruity and citrus flavors. Slight sulfer production, but this will fade with ageing.

Best for: British bitters and pale ales."
WLP026 Premium Bitter Ale,White Labs,Ale,Liquid,67°F - 70°F,72.5%,Medium,"From Staffordshire England. Mild, but complex estery flavor. High attenuation - ferments strong and dry. Suitable for high gravity beers.

Best for: All English ales including bitters, milds, ESB, Porter, Stout and Barley Wine"
WLP028 Edinburgh Ale,White Labs,Ale,Liquid,65°F - 70°F,72.5%,Medium,"Malty strong ale yeast. Reproduces complex, malty, flavorful schottish ales. Hop character comes through well.

Best for: Strong Scottish style ales, ESB, Irish Reds"
WLP029 German Ale/Kolsch,White Labs,Ale,Liquid,65°F - 69°F,75.0%,Medium,"Great for light beers. Accentuates hop flavors. Slight sulfer flavor will fade with age and leave a clean, lager like ale.

Best for: Kolsch, Altbiers, Pale Ales, Blonde and Honey Ales"
WLP033 Klassic Ale Yeast,White Labs,Ale,Liquid,66°F - 70°F,70.0%,Medium,"Traditional English Ale style yeast. Produces ester character, and allows hop flavor through. Leaves a slightly sweet malt character in ales.

Best for: Bitters, milds, porters stouts and scottish ale styles."
WLP036 Dusseldorf Alt Yeast,White Labs,Ale,Liquid,65°F - 69°F,68.5%,Medium,"Traditional Alt yeast from Dusseldorf, Germany. Produces clean, slightly sweet alt beers. Does not accentuate hop flavor like WLP029 does.

Best for: Alt biers, Dusseldorf Alts, German Ales"
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
WLP037 Yorkshire Square Ale Yeast,White Labs,Ale,Liquid,65°F - 69°F,70.0%,High,"This yeast produces a malty but well balanced profile. Expect toasty flavors with malt driven esters. Highly flocculent and a good choice for many English ales.

Best for: English pale ales, English brown ales and Mild ales"
WLP038 Manchester Ale Yeast,White Labs,Ale,Liquid,65°F - 70°F,72.0%,Medium,"Top fermenting strain that is good for top-cropping. Moderately flocculent with a clean, dry finish. Low ester profile for producing a balanced English ale.

Best for: English style ales"
WLP039 Nottingham Ale Yeast,White Labs,Ale,Liquid,66°F - 70°F,77.5%,Medium,"British style of ale yeast with a very dry finish and high attenuation. Medium to low fruit and fusel alcohol production. Good top fermenting yeast for cropping. 

Best for: British ales, pale ales, ambers, porters and stouts."
WLP041 Pacific Ale,White Labs,Ale,Liquid,65°F - 68°F,67.5%,High,"Popular yeast from the Pacific Northwest. Leaves a clear and malty profile. More fruity than WLP002. Suitable for many English and American styles.

Best for: English & American ales including milds, bitters, IPA, porters and English stouts."
WLP051 California Ale V,White Labs,Ale,Liquid,66°F - 70°F,72.5%,High,"Similar to White Labs California Ale Yeast, but slightly lower attenuation leaves a fuller bodied beer.

Best for: American style Pales, Ambers, Browns, IPAs, American Strong Ale"
WLP060 American Ale Yeast Blend,White Labs,Ale,Liquid,68°F - 72°F,76.0%,Medium,"A blend that celebrates WLP001 (California Ale Yeast's) clean, neutral fermentation. This strain is versatile and adds two other yeast strains that are also clean/neutral in flavor to add a bit of complexity - almost a lager like finish. Slight sulfur m

Best for: American ales with clean finish"
WLP080 Cream Ale Yeast Blend,White Labs,Ale,Liquid,65°F - 70°F,77.5%,Medium,"A blend of ale and lager yeast strains that work together to create a clean, light American lager style ale. A pleasing estery aroma may be perceived. Hop flavors and bitterness are slightly subdued. Slight sulfer will be produced during fermentation f

Best for: Cream Ale, Hybrids"
WLP090 San Diego Super Yeast,White Labs,Ale,Liquid,65°F - 68°F,75.0%,Very High,"A super clean, super-fast fermenting strain. A low ester-producing strain that results in a balanced, neutral flavor and aroma profile. Alcohol-tolerant and very versatile for a wide variety of styles. Similar to California Ale Yeast WLP001 but it generally ferments faster.

Best for: IPAs, American ales"
WLP090 San Diego Super Yeast WLP090,White Labs,Ale,Liquid,65°F - 68°F,79.5%,Medium,
WLP099 Super High Gravity Ale,White Labs,Ale,Liquid,69°F - 74°F,82.0%,Low,"Ferments up to 25% alcohol content. Flavor may vary greatly depending on beer alcohol. English like esters at low gravity, but will become more wine-like as alcohol exceeds 16% ABV. Refer to White Labs web page for tips on fermenting high gravity ales.

Best for: Very high gravity beers and barley wine up to 25% alcohol."
WLP300 Hefeweizen Ale,White Labs,Wheat,Liquid,68°F - 72°F,74.0%,Low,"Produces the banana and clove nose traditionally associated with German Wheat beers. Also produces desired cloudy look.

Best for: German style wheat beers. Weiss, Weizen, Hefeweizen"
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
WLP320 American Hefeweizen Ale,White Labs,Wheat,Liquid,65°F - 69°F,72.5%,Low,"Produces a much smaller amount of clove and banana flavor than the German Hefeweizen White Labs yeast. Some sulfur, and creates desired cloudy look.

Best for: Oregon style American Hefeweizen"
WLP351 Bavarian Weizen Yeast,White Labs,Wheat,Liquid,66°F - 70°F,75.0%,Low,"Former yeast lab W51 strain. Produces a classic German style wheat beer with moderately high, spicy, phenolic overtones reminiscent of cloves.

Best for: Bavarian Weizen and wheat beers."
WLP380 Hefeweizen IV Ale,White Labs,Wheat,Liquid,66°F - 70°F,76.5%,Low,"Large clove and phenolic aroma, but with minimal banana flavor. Citrus and apricot notes. Crisp and drinkable, with some sulfur production.

Best for: German style Hefeweizen"
WLP400 Belgian Wit Ale,White Labs,Wheat,Liquid,67°F - 74°F,76.0%,Low,"Phenolic and tart. The original yeast used to produce Wit in Belgium.

Best for: Belgian Wit"
WLP410 Belgian Wit II,White Labs,Ale,Liquid,67°F - 74°F,72.5%,Medium,"Less phenolic than WLP400 (Belgian Wit Ale) but more spicy. Leaves a little more sweetness and flocculation is higher than WLP400.

Best for: Belgian Wit, Spiced Ale, Wheat Ales and Specialty Beers"
WLP500 Trappist Ale,White Labs,Ale,Liquid,65°F - 72°F,77.5%,Medium,"Distinctive fruitiness and plum characteristics. Excellent for high gravity beers.

Best for: Trappist Ale, Dubbel, Trippel, Belgian Ales"
WLP510 Bastogne Belgian Ale,White Labs,Ale,Liquid,66°F - 72°F,77.0%,Medium,"High gravity Trappist ale yeast. Creates a dry beer with a slightly acidic finish. Cleaner finish and slightly less spicy than WLP500 or WLP530. 

Best for: High gravity beers, Belgian ales, Dubbels, Trippels."
WLP515 Antwerp Ale Yeast,White Labs,Ale,Liquid,67°F - 70°F,76.5%,Medium,"Clean, almost lager like Belgian ale yeast. Good for Belgian pale and amber ales or with other Belgian yeasts in a blend. Biscuity, ale like aroma present. Hop flavors are accentuated. Slight sulfur during fermentation, and a lager like flavor profile

Best for: Belgian pale and amber ales"
WLP530 Abbey Ale,White Labs,Ale,Liquid,66°F - 72°F,77.5%,Medium,"Used in two of six remaining Trappist breweries. Distinctive plum and fruitiness. Good for high gravity beers.

Best for: Belgian Trappist Ale, Spiced Ale, Trippel, Dubbel, Grand Cru"
WLP540 Abbey IV Ale Yeast,White Labs,Ale,Liquid,66°F - 72°F,78.0%,Medium,"An authentic Trappist style ale yeast. Use for Belgian ales including abbey ales (dubbels, tripels). Fruit character is medium - between WLP500 (high) and WLP530 (low)

Best for: Trappist Belgian Ales, Dubbels, Tripels and Specialty ales"
WLP545 Belgian Strong Ale Yeast,White Labs,Ale,Liquid,65°F - 73°F,81.5%,Medium,"From the Ardennes region of Belgium, this classic strain produces moderate esters and spicy phenolic character. Results in a dry but balanced finish. Use for dark or strong abbey ales.

Best for: Belgian dark strongs, Abbey ales and Christmas beers"
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
WLP550 Belgian Ale,White Labs,Ale,Liquid,68°F - 78°F,81.5%,Medium,"Phenolic and spicy flavors. Complex profile, with less fruitiness than White's Trappist Ale strain.

Best for: Belgian Ales, Saisons, Belgian Reds, Belgian Browns, White beers"
WLP565 Belgian Saison I Ale,White Labs,Ale,Liquid,68°F - 75°F,70.0%,Medium,"Saison yeast from Wallonia. Earthy, spicy and peppery notes. Slightly sweet.

Best for: Saison Ale, Belgian Ale, Dubbel, Trippel"
WLP566 Belgian Saison II Yeast,White Labs,Ale,Liquid,68°F - 78°F,81.5%,Medium,"Saison strain with a more fruity ester profile than WLP565 (Belgian Saison I Yeast). Moderately phenolic with a clove-like characteristic in finished beer flavor and aroma. Ferments quickly.

Best for: Belgian or French Saison"
WLP568 Belgian Style Saison Ale Yeast Blend,White Labs,Ale,Liquid,70°F - 80°F,75.0%,Medium,"This blend melds Belgian style ale and Saison strains. The strains work in harmony to create complex, fruity aromas and flavors. The blend of yeast strains encourages complete fermentation in a timely manner. Phenolic, spicy, earthy, and clove like flavor

Best for: Belgian and French Saison"
WLP570 Belgian Golden Ale,White Labs,Ale,Liquid,68°F - 75°F,75.5%,Low,"Combination of fruitiness and phenolic characters dominate the profile. Some sulfur which will dissapate following fermentation.

Best for: Belgian Ales, Dubbel, Grand Cru, Belgian Holiday Ale"
WLP575 Belgian Style Ale Yeast Blend,White Labs,Ale,Liquid,68°F - 75°F,77.0%,Medium,"Blend of two trappist ale yeasts and one Belgian ale yeast. Creates a versatile blend to be used for Trappist and other Belgian style ales.

Best for: Trappist and other Belgian ales."
WLP630 Berliner Weisse Blend,White Labs,Wheat,Liquid,68°F - 72°F,76.5%,Medium,"A blend of a traditional German Weizen yeast and Lactobacillus to create a subtle, tart, drinkable beer. Can take several months to develop tart character. Perfect for traditional Berliner Weisse.

Best for: Berliner Weisse"
WLP644 Brettanomyces Bruxellensis Trois,White Labs,Ale,Liquid,70°F - 84.9°F,85.0%,Low,"This Belgian strain, used traditionally for 100% Brettanomyces fermentations, produces a slightly tart beer with delicate characteristics of mango and pineapple. Can also be used to produce effervescence when bottle-conditioning."
WLP645 Brettanomyces Claussenii,White Labs,Ale,Liquid,65°F - 72°F,70.0%,Medium,"Low intensity Brett character. Originally isolated from strong English stock beer, in the early 20th century. The Brett flavors produced are more subtle than WLP650 and WLP653. More aroma than flavor contribution. Fruity, pineapple like aroma.

Best for: Sour ales (in secondary)"
WLP650 Brettanomyces Bruxellensis,White Labs,Ale,Liquid,65°F - 72°F,70.0%,Medium,"Medium intensity Brett character. Classic strain used in secondary fermentation for Belgian style beers and lambics. One Trappist brewery uses this strain in secondary fermentation.

Best for: Belgian sour ales and labics (in secondary)"
WLP653 Brettanomyces Lambicus,White Labs,Ale,Liquid,65°F - 72°F,70.0%,Medium,"Use in secondary. High intensity Brett character. Defines the ""Brett character"": Horsey, smoky and spicy flavors. As the name suggests, this strain is found most often in Lambic style beers, which are spontaneously fermented beers.

Best for: Lambics and Flanders/Sour Brown ales"
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
WLP655 Belgian Sour Mix 1,White Labs,Ale,Liquid,65°F - 72°F,70.0%,Medium,"Note: Bacteria to use in secondary only. A unique blend perfect for Belgian style beers. Includes Brettanomyces, Saccharomyces, and the bacterial strains Lactobacillus and Pediococcus.

Best for: Belgian sour beers (in secondary)"
WLP670 American Farmhouse Blend,White Labs,Ale,Liquid,68°F - 72°F,78.5%,Medium,"Inspired by local American brewers crafting semi- traditional Belgian-style ales. This blend creates a complex flavor profile with a moderate level of sourness. It consists of a traditional farmhouse yeast strain and Brettanomyces. Great yeast for farmho

Best for: Saisons, Farmhouse Ales"
WLP675 Malolactic Bacteria,White Labs,Ale,Liquid,65°F - 72°F,70.0%,Medium,"Bacteria for use in secondary. Malolactic fermentation is the conversion of malic acid to lactic acid by bacteria from the lactic acid bacteria family. Lactic acid is less acidic than malic acid, which in turn decreases acidity and helps to soften and/o

Best for: Primarily wine"
WLP677 Lactobacillus Bacteria,White Labs,Ale,Liquid,65°F - 72°F,70.0%,Medium,"Bacteria for use in secondary. This lactic acid bacteria produces moderate levels of acidity and sour flavors found in lambics, Berliner Weiss, sour brown ale and gueze.

Best for: Lambic, Berliner Weiss, Sour Brown and Gueze (secondary)"
WLP700 Flor Sherry Yeast,White Labs,Wine,Liquid,70°F - 76°F,83.0%,Medium,"This yeast develops a film (flor) on the surface of the wine. Creates green almond, granny smith and nougat characteristics found in sherry. Can also be used for Port, Madeira and other sweet styles. For use in secondary fermentation. Slow fermentor. Al

Best for: Sherry wine yeast"
WLP705 Sake Yeast,White Labs,Wine,Liquid,70°F - 76°F,83.0%,Medium,"For use in rice based fermentations. For sake, use this yeast in conjunction with Koji (to produce fermentable sugar). WLP705 produces full body sake character, and subtle fragrance. Alcohol tolerance to 16%.

Best for: Sake wine yeast"
WLP715 Champagne Yeast,White Labs,Champagne,Liquid,70°F - 75°F,77.5%,Low,"Can tolerate alcohol up to 17%. For Barley Wine or Meads.

Best for: Wine, Mead and Cider"
WLP718 Avize Wine Yeast,White Labs,Wine,Liquid,60°F - 90°F,83.0%,Medium,"Champagne isolate used for complexity in whites. Contributes elegance, especially in barrel fermented Chardonnays. Alcohol tolerance to 15%.

Best for: Chardonnay"
WLP720 Sweet Mead/Wine,White Labs,Wine,Liquid,70°F - 75°F,72.5%,Low,"Lower attenuation than White Labs Champagne Yeast. Leaves some residual sweetness as well as fruity flavor. Alcohol concentration up to 15%.

Best for: Sweet Mead, Wine and Cider"
WLP727 Steinberg-Geisenheim Wine,White Labs,Wine,Liquid,50°F - 90°F,83.0%,Low,"German origin wine yeast. High fruit/ester production. Moderate fermentation characteristics and cold tolerant.

Best for: Riesling wines."
WLP730 Chardonnay White Wine Yeast,White Labs,Wine,Liquid,50°F - 90°F,83.0%,Low,"Dry wine yeast. Slight ester production, low sulfur dioxide production. Enhances varietal character. WLP730 is a good choice for all white and blush wines, including Chablis, Chenin Blanc, Semillon, and Sauvignon Blanc. Fermentation speed is moderate. Al

Best for: Chardonnay Wine"
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
WLP735 French White Wine Yeast,White Labs,Wine,Liquid,60°F - 90°F,83.0%,Low,"Classic yeast for white wine fermentation. Slow to moderate fermenter and foam producer. Gives an enhanced creamy texture. Alcohol Tolerance: 16%

Best for: French white wines"
WLP740 Merlot Red Wine Yeast,White Labs,Wine,Liquid,60°F - 90°F,83.0%,Low,"Neutral, low fusel alcohol production. Will ferment to dryness, alcohol tolerance to 18%. Vigorous fermenter. WLP740 is well suited for Merlot, Shiraz, Pinot Noir, Chardonnay, Cabernet, Sauvignon Blanc, and Semillon. Alcohol Tolerance: 18%

Best for: Merlot, Shiraz, Pinot Noir, Chardonnay, Cabernet, Sauvignon Blanc, and Semillon"
WLP749 Assmanshausen Wine Yeast,White Labs,Wine,Liquid,50°F - 90°F,83.0%,Low,"German red wine yeast, which results in spicy, fruit aromas. Perfect for Pinot Noir and Zinfandel. Slow to moderate fermenter which is cold tolerant. Alcohol Tolerance: 16%

Best for: Pinot Noir and Zinfandel"
WLP750 French Red Wine Yeast,White Labs,Wine,Liquid,60°F - 90°F,83.0%,Low,"Classic Bordeaux yeast for red wine fermentations. Moderate fermentation characteristics. Tolerates lower fermentation temperatures. Rich, smooth flavor profile. Alcohol Tolerance: 17%

Best for: Bordeaux"
WLP760 Cabernet Red Wine Yeast,White Labs,Wine,Liquid,60°F - 90°F,83.0%,Low,"High temperature tolerance. Moderate fermentation speed. Excellent for full-bodied red wines, ester production complements flavor. WLP760 is also suitable for Merlot, Chardonnay, Chianti, Chenin Blanc, and Sauvignon Blanc. Alcohol Tolerance: 16%

Best for: Merlot, Chardonnay, Chianti, Chenin Blanc, and Sauvignon Blanc"
WLP770 Suremain Burgundy Wine Yeast,White Labs,Wine,Liquid,60°F - 90°F,83.0%,Low,"Emphasizes fruit aromas in barrel fermentations. High nutrient requirement to avoid volatile acidity production. Alcohol Tolerance: 16%

Best for: Burgundy"
WLP775 English Cider Yeast,White Labs,Wine,Liquid,68°F - 75°F,83.0%,Medium,"Classic Cider yeast. Ferments dry, but retains apple flavor. Some sulfer produced during fermentation will fade with age.

Best for: Cider, Wine and High Gravity Beer"
WLP800 Pilsner Lager,White Labs,Lager,Liquid,50°F - 55°F,74.5%,High,"Classic pilsner strain from Czech Republic. Dry with a malty finish.

Best for: European Pilsners, Bohemian Pilsner"
WLP802 Czech Budejovice Lager,White Labs,Lager,Liquid,50°F - 55°F,77.5%,Medium,"Dry and crisp with low diacetyl production. From Southern Czech Republic.

Best for: Bohemian Style Pilsner"
WLP810 San Francisco Lager,White Labs,Lager,Liquid,58°F - 65°F,67.5%,High,"Produces ""California Common"" style beer.

Best for: California and Premium Lagers, all American Lagers"
WLP815 Belgian Lager Yeast,White Labs,Lager,Liquid,50°F - 55°F,75.0%,Medium,"Clean, crisp European lager yeast with low sulfur production. The strain originates from a very old brewery in West Belgium. Great for European style pilsners, dark lagers, Vienna lager, and American style lagers. 

Best for: European style pilsners, dark lagers, Vienna lager, and American style lagers"
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
WLP820 Octoberfest/Marzen Lager,White Labs,Lager,Liquid,52°F - 58°F,69.0%,Medium,"Produces a malty, bock style beer. Does not finish as dry or as fast as White's German Lager yeast. Longer lagering or starter recommended.

Best for: Marzen, Oktoberfest, European Lagers, Bocks, Munich Helles"
WLP830 German Lager,White Labs,Lager,Liquid,50°F - 55°F,76.5%,Medium,"Very malty and clean. One of the world's most popular lager yeasts.

Best for: German Marzen, Pilsner, Lagers, Oktoberfest beers."
WLP830 German Lager Yeast WLP830,White Labs,Lager,Liquid,50°F - 55°F,82.0%,Medium,
WLP833 German Bock Lager,White Labs,Lager,Liquid,48°F - 55°F,73.0%,Medium,"Produces beer that has balanced malt and hop character. From Southern Bavaria.

Best for: Bocks, Doppelbocks, Oktoberfest, Vienna, Helles, some American Pilsners"
WLP838 Southern German Lager,White Labs,Lager,Liquid,50°F - 55°F,72.0%,High,"Malty finish and balanced aroma. Strong fermenter, slight sulfur and low diacetyl.

Best for: German Pilsner, Helles, Oktoberfest, Marzen, Bocks"
WLP840 American Lager Yeast,White Labs,Lager,Liquid,50°F - 55°F,77.5%,Medium,"Dry and clean with very slight apple fruitiness. Minimal sulfer and diacetyl.

Best for: All American Style Lagers -- both light and dark."
WLP840 American Lager Yeast WLP840,White Labs,Lager,Liquid,50°F - 55°F,77.5%,Medium,
WLP860 Munich Helles,White Labs,Ale,Liquid,48°F - 52°F,70.0%,Medium,"Possible Augustiner Strain? This yeast helps to produce a malty, but balanced traditional Munich-style lager. Clean and strong fermenter, it's great for a variety of lager styles ranging from Helles to Rauchbier.

Best for: Munich Helles, Oktoberfest"
WLP862 Cry Havoc,White Labs,Lager,Liquid,68°F - 74°F,68.0%,Medium,"Licensed by White Labs from Charlie Papazian, author of ""The Complete Joy of Home Brewing"". This yeast was used to brew many of his original recipes. Diverse strain can ferment at ale and lager temps.

Best for: All American Style Lagers -- both light and dark."
WLP885 Zurich Lager,White Labs,Lager,Liquid,50°F - 55°F,75.0%,Medium,"Swiss style lager yeast. Sulfer and diacetyl production is minimal. May be used for high gravity lagers with proper care.

Best for: Swiss style lager, and high gravity lagers (over 11% ABV)"
WLP920 Old Bavarian Lager,White Labs,Lager,Liquid,50°F - 55°F,69.5%,Medium,"Southern Germany/Bavarian lager yeast. Finishes malty with a slight ester profile.

Best for: Oktoberfest, Marzen, Bock and Dark Lagers."
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
WLP940 Mexican Lager,White Labs,Lager,Liquid,50°F - 55°F,74.0%,Medium,"From Mexico City - produces a clean lager beer with a crisp finish. Good for mexican style beers.

Best for: Mexican style light and dark lagers."
American Ale,Wyeast,Ale,Liquid,32°F - 32°F,75.0%,,
American Ale,Wyeast,Ale,Liquid,32°F - 32°F,75.0%,,
1007 German Ale,Wyeast,Ale,Liquid,55°F - 66°F,75.0%,Low,"Crisp, dry finish with a mild flavor.

Best for: German Ales, Alts, Kolsch, Dry Stout"
1010 American Wheat 1010,Wyeast,Wheat,Liquid,58°F - 74°F,76.0%,Low,
1010 American Wheat Ale,Wyeast,Ale,Liquid,58°F - 74°F,76.0%,Low,"Dry, Crisp, tart beer in the American Hefeweizen style. Low flocculation aids in producing desired chill haze.

Best for: American Wheat, Berlin Weiss, Hefeweizen"
1026 British Cask Ale,Wyeast,Ale,Liquid,63°F - 72°F,75.5%,Medium,"A great choice for any cask conditioned British Ale. Produces nice malt profile with a hint of fruit. Finishes dry and slightly tart. 

Best for: British Ales"
1028 London Ale Yeast,Wyeast,Ale,Liquid,60°F - 72°F,75.0%,Medium,"Dry finish, bold, rich flavor, some fruit profile and a crisp finish.

Best for: English Ales, Bitters, IPAs, Brown Ale"
1056 American Ale,Wyeast,Ale,Liquid,60°F - 72°F,75.0%,Medium,"Soft, smooth, clean finish. Very well balanced. Very versitile -- works well with many ale styles.

Best for: American Pale Ale, Scottish Ale, Porters, Sweet Stout, Barley Wine, Alt"
1084 Irish Ale,Wyeast,Ale,Liquid,62°F - 72°F,73.0%,Medium,"Dry diacetyl, fruity flavor characteristic of stouts. Full bodied, dry, clean flavor.

Best for: Irish Dry Stouts, Porter, Scottish Ale, Brown Ale, Imperial Stout, Barley Wine"
1087 Wyeast Ale Blend,Wyeast,Ale,Liquid,64°F - 72°F,73.0%,Medium,"Blend of ale strains designed to provide quick starts, good flavor, balance and flocculation. Balanced finish suitable for most American and British ale styles.

Best for: American and British Ale Styles."
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
1098 British Ale Yeast,Wyeast,Ale,Liquid,64°F - 72°F,74.0%,Medium,"Fruity, tart, dry crisp finish. Very well balanced.

Best for: All British Ales, Pales, Bitters, English Strong Ale"
1099 Whitbread Ale,Wyeast,Ale,Liquid,64°F - 75°F,70.0%,High,"Slightly more fruity and malty than Wyeast's British Ale. Clear and highly flocculant.

Best for: Whitbread Ale, British Ales, Pales, Bitters"
1187 Ringwood Ale,Wyeast,Ale,Liquid,64°F - 74°F,70.0%,High,"European ale yeast. Highly flocculant with complex, clear, but malty profile. Slightly fruity ester.

Best for: Ringwood Ale, Brown Ales"
1214 Belgian Ale Yeast,Wyeast,Ale,Liquid,58°F - 68°F,74.0%,Medium,"Trappist style ale yeast. Complex estery flavor.

Best for: Belgian Ales, Abbey Ales, Trappist Ales"
1272 American Ale II,Wyeast,Ale,Liquid,60°F - 72°F,74.0%,High,"Clean, tart, nutty flavor. More fruity than Wyeast American Ale yeast.

Best for: All American Ales, Brown Ales, Barley Wine"
1272 GF All American Ale,Wyeast,Ale,Liquid,60°F - 72°F,74.0%,High,"Popular all purpose American ale style now in a Gluten Free strain. Produces beers that are nutty, clean with a slight tart finish. Ferment warmer to accentuate hops and add fruitiness or ferment cold for clean light citrus character.

Best for: American Amber, Brown, IPA, Pale ales and stouts. Blondes and fruit beers."
1275 Thames Valley Ale,Wyeast,Ale,Liquid,62°F - 72°F,77.0%,Medium,"Clean, complex flavor. Low in fruit, low in esters, rich in flavor. Hops come through well.

Best for: British Bitters, ESB, India Pale Ale, English Strong Ale"
1318 London Ale III,Wyeast,Ale,Liquid,64°F - 74°F,73.0%,High,"Light, fruity flavor. Balanced flavor with hint of sweetness.

Best for: British Ales, Bitters"
1318 London Ale III 1318,Wyeast,Ale,Liquid,64°F - 74°F,73.0%,High,
1332 Northwest Ale,Wyeast,Ale,Liquid,65°F - 75°F,69.0%,High,"Classic Northwest US ale yeast. Slight fruit flavor, malty ale with good body and balance.

Best for: Oregon Ales, All American Ale styles"
1335 British Ale II,Wyeast,Ale,Liquid,63°F - 75°F,74.5%,High,"Malty, clean, crisp finish. Dry flavor.

Best for: British and Canadian Ales, English Bitters"
Name,Lab,Type,Form,Temp,Attenuation,Flocculation,Notes
1338 European Ale Yeast,Wyeast,Ale,Liquid,62°F - 72°F,69.0%,High,"Very malty flavor characteristic of Bavarian/Munich Ales. Complex character.

Best for: European Ales, German Ales, Alts, Pale Ale, Brown Ale, Kolsch"
1388 Belgian Strong Ale,Wyeast,Ale,Liquid,65°F - 75°F,76.0%,Low,"Dry, tart, fruity flavor. High alcohol tolerance.

Best for: Belgian Ales, Scottish Strong Ale,Trappist Ales, Dubbels, Trippels"
