Hop,Origin,Type,Alpha,Beta,Notes
Brewer's Gold,United Kingdom,Bittering,8.00,3.70,"Traditional bittering hops for English ales and heavy German lagers. Aroma: Sharp bittering hop Substitutes: Northern Brewer, Galena, Chinook, Eroica Example: Pete's Wicked Ale"
Bullion,United Kingdom,Bittering,8.00,4.50,"Used in strong dark English ales, some heavy German lagers. Aroma: Strong, pungent and bitter in flavor. Blackcurrant flavor. Substitutes: Chinook, Eroica, Brewer's Gold"
Calypso,U.S.,Both,0.00,0.00,"A new, dual-purpose hop from the Hopsteiner breeding program that may establish itself as ""special"". Used for: Ales, Stouts and Barley Wines Aroma: Not as tropical as the name might imply but rich in both stone fruits (pear and peaches, notes of cherry) and citrus. Substitutions: Unknown Storage: Good (65-70% AA after 6 months at 20 C) 12-14% AA / 5-6% Beta"
Cascade,U.S.,Both,5.50,6.00,"A hops with Northern Brewers Heritage Used for: American ales and lagers Aroma: Strong spicy, floral, grapefruit character Substitutes: Centennial Examples: Sierra Nevada Pale Ale, Anchor Liberty Ale"
Celeia,Slovenia,Both,4.50,2.60,"A dual purpose hops that is a hybrid between Savinjski Golding, Aurora and Slovenian wild hops. Similar in aroma to Saaz. Used for: Light lagers, Pilsners, Belgian ales. Substitutes: Saaz, Styrian Goldings"
Centennial,U.S.,Bittering,10.00,4.00,"Used for: General purpose bittering, aroma in American ales and Wheats Aroma: Floral, citrus aroma, spicy, clean bittering flavor Substitutes: Galena, Eroica, Nugget, Bullion Examples: Sierra Nevada Celebration Ale, Sierra Nevada Bigfoot"
Challenger,United Kingdom,Aroma,7.50,4.00,"Variant of Northern Brewers heritage Used for: Both aroma and bittering for ales and lagers Aroma: Fruity in flavor, spicy aroma, blends well Substitutes: N/A"
Chelan,U.S.,Bittering,13.25,9.25,High alpha variety from the Haas breeding program released in 2004. It is a variant of Galena and very similar in profile to Galena. Aroma: Pleasant citrus notes Substitutes: Galena
Chinook,U.S.,Bittering,13.00,3.60,"Strong versatile bittering hop Used for: Ales, porters, stouts Aroma: Heavy and spicy aroma Substitutes: Galena, Eroica, Nugget, Bullion Examples: Sierra Nevada Stout, Sierra Nevada Celebration Ale"
Citra,U.S.,Both,12.00,4.00,Special aroma hops released in 2007. Imparts high alpha/oil content but low cohumulone. Aroma: Adds interesting citrus and tropical fruit character to the beer. Substitutes: Unknown
Cluster,U.S.,Bittering,7.00,4.80,"Used for: General purpose bittering hop Aroma: Floral, slightly spicy. Sharp aroma and sharp flavor Substitutes: Eroica, Galena"
Columbia,United Kingdom,Bittering,5.50,3.00,"Sibling of Williamette hops. Used for: All English Ales Aroma: Close to Fuggles Substitutes: Fuggles, Williamette"
Columbus (Tomahawk),U.S.,Bittering,14.00,5.00,"Engineered Centennial Substitute - High alpha bittering hops. Used for: Bittering, flavor, aroma - IPA, American Pale Ale, Stout, Lager Aroma: Pungent, spicy. Strongly aromatic, but clean tasting bitterness Substitutes: Centennial"
Columbus/Tomahawk/Zeus (CTZ),U.S.,Bittering,0.00,0.00,"Engineered Centennial Substitute - High alpha bittering hops. Used for: IPA, American Pale Ale, Stout, Lager, Barley Wine Aroma: Pungent, spicy. Strongly aromatic, but clean tasting bitterness Substitutes: Other CTZ, Galena, Chinook, Nugget, Target (U.K.), Northern Brewer (Germany) Storage: Poor/Very Poor (45-65% AA after 6 months at 20 C) 14-16.5% AA / 4-5% Beta"
Comet,U.S.,Bittering,9.50,4.00,Very bitter hops - use sparingly with other hops Used for: Bittering only Substitutes: N/A
Crystal,U.S.,Aroma,3.50,5.20,"Used for: Aroma and finishing hops for Lagers Aroma: Clean, mild, pleasant and slightly spicy Substitutes: Hallertauer, Mount Liberty"
East Kent Goldings (EKG),United Kingdom,Both,0.00,0.00,"Also known as Canterbury Hops by some, although others will dispute this fact. East Kent Goldings gracefully defines the English Pale Ales and Ales produced by the region, it is quintessentially English. Used for: English Ale, Porter, Scottish and Irish Ale, Stout, Strong Ale, ESB, Saison, Barleywine. Aroma: Floral, aromatic, earthy, slightly sweet spicy flavor Substitutes: First Gold, Fuggles, other Golding varieties, Progress, Target, and Whitbread Golding Storage: Good/Fair 965-80% AA after 6 months at 20 C) 4-7% AA / 1.9-2.8% Beta"
El Dorado,U.S.,Both,15.00,7.50,"A hop from Washington's Moxee Valley, a sub-region of the Yakima Valley. This hop has an intense, candylike aroma, along with cherries and other fruits."
Eroica,U.S.,Bittering,13.00,4.80,"Used for: General purpose bittering for ales, porters, stouts Aroma: Clean bittering hop, very bitter Substitutes: Galena, Northern Brewer, Chinook Examples: Blackhook Porter, Ballard Bitter"
Feux Coeur Francais,Australia,Bittering,14.00,6.00,"Rare, high alpha hops from Australia with genetic roots in the Burgundy region of France. It was adopted to the Victoria region of Australia and introduced in 2010."
First Gold,United Kingdom,Both,7.50,3.50,"Dwarf hop with English Golding character Used for: Ales, ESB Aroma: Similar to other Golding varieties, spicy Substitutes: East Kent Goldings, Crystal"
Fuggles,United Kingdom,Aroma,4.50,2.00,"Used for: General purpose bittering/aroma for English Ales, Dark Lagers Aroma: Mild, soft, grassy, floral aroma Substitute: East Kent Goldings, Williamette Examples: Samuel Smith's Pale Ale, Old Peculiar, Thomas Hardy's Ale"
Galaxy,Australia,Bittering,14.00,5.90,"A high alpha, dual purpose seedless hops with a unique hop aroma. It can be used either for bittering or as a late hop addition to provide a flavor of citrus and passionfruit to the finished beer. Aroma: Intense, pleasant, unique."
Galena,U.S.,Bittering,12.50,8.00,"Used for: General bittering hops for all beers Aroma: Strong, clean, balanced bittering Substitutes: Eroica, Northern Brewer, Cluster, Chinook Examples: Catamount Porter"
Glacier,U.S.,Aroma,5.60,7.60,"Genetic mix of at least 8 hops including Elsasser, Brewers Gold, N Brewer, Bullion, Early Green, and others...released in 2000. Used for: Aroma Aroma: Excellent, hoppy Substitutes: N/A"
"Goldings, B.C.",Canada,Aroma,5.00,3.20,"Used for: Bittering and finishing British ales, bitters, porters and stouts. Aroma: Spicy, floral, rounded mild aroma. Substitutes: East Kent Goldings, Fuggles"
"Goldings, East Kent",United Kingdom,Aroma,5.00,3.50,"Used for: General purpose hops for bittering/finishing all British Ales Aroma: Floral, aromatic, earthy, slightly sweet spicy flavor Substitutes: Fuggles, BC Goldings Examples: Bass Pale Ale, Fullers ESB, Samual Smith's Pale Ale"
Green Bullet,New Zealand,Bittering,13.50,7.00,"Bittering hops from New Zealand developed in 1972 Used for: Australian-style ales and lagers. Aroma: Floral, raisin aroma. Substitutes: Styrian Goldings"
Greenburg,U.S.,Aroma,5.20,7.20,American hop variety from southern Idaho. Fruity flavor with a touch of wood flavor. Popular with microbreweries.
Hallertau Magnum,Germany,Bittering,0.00,0.00,"German Hallertauer hybrid, widely used in Germany. Extremely appropriate for early boil additions.Used for: German ales and lagers, bitters, IPAs, pilsners, pale ales, stouts.Aroma: somewhat unnoticeable aroma; stable spicy flavorSubstitutes: Hallertau Taurus, Columbus, NuggetStorage: Excellent (80%-85% AA after 6 months at 20 C)12-14% AA / 4.5-5.5% Beta"
Hallertau Magnum,Germany,Bittering,0.00,0.00,"German Hallertauer hybrid, widely used in Germany. Extremely appropriate for early boil additions. Used for: German ales and lagers, bitters, IPAs, pilsners, pale ales, stouts. Aroma: somewhat unnoticeable aroma; stable spicy flavor Substitutes: Hallertau Taurus, Columbus, Nugget Storage: Excellent (80%-85% AA after 6 months at 20 C) 12-14% AA / 4.5-5.5% Beta"
Hallertau Magnum,Germany,Bittering,0.00,0.00,"German Hallertauer hybrid, widely used in Germany. Extremely appropriate for early boil additions. Used for: German ales and lagers, bitters, IPAs, pilsners, pale ales, stouts. Aroma: somewhat unnoticeable aroma; stable spicy flavor Substitutes: Hallertau Taurus, Columbus, Nugget Storage: Excellent (80%-85% AA after 6 months at 20 C) 12-14% AA / 4.5-5.5% Beta"
Hallertau Magnum,Germany,Bittering,0.00,0.00,"German Hallertauer hybrid, widely used in Germany. Extremely appropriate for early boil additions. Used for: German ales and lagers, bitters, IPAs, pilsners, pale ales, stouts. Aroma: somewhat unnoticeable aroma; stable spicy flavor Substitutes: Hallertau Taurus, Columbus, Nugget Storage: Excellent (80%-85% AA after 6 months at 20 C) 12-14% AA / 4.5-5.5% Beta"
Hallertau Magnum,Germany,Bittering,0.00,0.00,"German Hallertauer hybrid, widely used in Germany. Extremely appropriate for early boil additions. Used for: German ales and lagers, bitters, IPAs, pilsners, pale ales, stouts. Aroma: somewhat unnoticeable aroma; stable spicy flavor Substitutes: Hallertau Taurus, Columbus, Nugget Storage: Excellent (80%-85% AA after 6 months at 20 C) 12-14% AA / 4.5-5.5% Beta"
Hallertauer,Germany,Aroma,4.80,4.00,"Used for: German Ales, German/US/Canadian Lagers, Wheat Beers Aroma: Pleasant, mild spicy flavor, clean, neutral flavor Substitutes: Crystal, Liberty, Hallertauer Mittelfrueh"
Hallertauer Hersbrucker,Germany,Aroma,4.00,6.00,"Used for: German style lagers and wheat beers Aroma: Noble, pleasant, clean flavor Substitutes: Mt. Hood, Liberty, Hallertauer, Mittelfrueh Examples: Wheathook Wheaten Ale"
Hallertauer Mittelfrueh,Germany,Aroma,4.00,4.60,"Used for: Continental Lagers, German Ales/Lagers, US Lagers Aroma: Pleasant, assertive, mild herbal aroma Substitutes: Hallertauer, Mt. Hood, Liberty, Crystal Examples: Sam Adams Boston Lager, Sam Adams Boston Lightship"
Hallertauer Mittelfrueh GR,Germany,Aroma,0.00,0.00,"Used for: Continental Lagers, German Ales/Lagers, US Lagers Aroma: Pleasant, assertive, mild herbal aroma Substitutes: Hallertauer, Mt. Hood, Liberty, Crystal Examples: Sam Adams Boston Lager, Sam Adams Boston Lightship"
Hallertauer Mittelfrueh*,Germany,Aroma,0.00,0.00,"Used for: Continental Lagers, German Ales/Lagers, US Lagers Aroma: Pleasant, assertive, mild herbal aroma Substitutes: Hallertauer, Mt. Hood, Liberty, Crystal Examples: Sam Adams Boston Lager, Sam Adams Boston Lightship"
"Hallertauer, New Zealand",New Zealand,Both,8.50,3.00,Hallertauer variant with classic aroma and ability to retain clean taste. Bred from German Hallertauer Mittelfrueh Used for: Australian Ales Substitutes: Hallertauer Mittelfrueh
Herald,United Kingdom,Bittering,12.00,5.20,"Dwarf variety bred at Wye College (mid 1990s) Used for: Bittering of ales Aroma: Strong, acceptable Substitutes: High alpha English bittering hops"
Hersbrucker,Germany,Aroma,0.00,0.00,"Hersbrucker Hops is similar to the noble hop varieties with its low co-humulone level. Aroma: Classicly spicy, herbal, with hints of citrus and stone fruit. Used for: German and Bavarian style Lagers, Pilsners, Hefeweizens, Dunkles, and Bocks Substitutions: Mt. Hood, Strisselspalt, Hallertau Mittelfruh, Liberty Storage: Fair (55%-65% AA after 6 months at 20 C) 2-5% AA / 4-6% Beta"
Hersbrucker,Germany,Aroma,0.00,0.00,"Hersbrucker Hops is similar to the noble hop varieties with its low co-humulone level. Aroma: Classicly spicy, herbal, with hints of citrus and stone fruit. Used for: German and Bavarian style Lagers, Pilsners, Hefeweizens, Dunkles, and Bocks Substitutions: Mt. Hood, Strisselspalt, Hallertau Mittelfruh, Liberty Storage: Fair (55%-65% AA after 6 months at 20 C) 2-5% AA / 4-6% Beta"
Horizon,U.S.,Bittering,12.00,7.50,"Good dual purpose hops derived from Nugget hops in Oregon (1970) Used for: All purpose Ales, Lagers Aroma: Pleasant, hoppy Substitutes: Magnum or other high alpha hops"
Kent Goldings,UK,Bittering,4.75,2.00,
Liberty,U.S.,Aroma,4.30,3.50,"Used for: German style lagers Aroma: Fine, mild, slightly spicy flavor Substitutes: Hallertau, Mt Hood, Crystal Examples: Pete's Wicked Lager"
Lublin,Poland,Bittering,5.00,3.00,"Version of Saaz grown in Poland - also called ""Lubelski"" Used for: Bohemian lagers and Pilsners Aroma: Noble, mild flavor similar to Saaz Substitutes: Saaz, Tettnanger"
Magnum,Germany,Bittering,14.00,6.50,"German Hallertauer hybrid, widely used in Germany Used for: German ales and lagers Aroma: Good aroma and stable spicy flavor Substitutes: N/A"
Marynka,Poland,Bittering,10.50,11.40,"Bittering hops with high aroma. Primarily for use in Pilsner, lagers, ales or wheats. Comparable to English Goldings or Chinook. Used for: Lager, ales Substitutes: Chinook, English Golding"
Millenium,U.S.,Bittering,14.25,5.70,"Originally developed as part of the Haas breeding program in the US, Millenium entered production in 2000. It is a very high alpha hops used for bittering. Aroma: Mild, herbal Substitutes: Columbus, Tomahawk, Zeus and Nugget"
Mosaic,U.S.,Aroma,12.70,3.50,"Related to Simcoe. A complex array of tropical fruit, citrus, berry, herbal, earthy and pine characteristics."
Mosaic (HBC 369),U.S.,Both,0.00,0.00,"Available in quantity for the first time after 2012 harvest. Still known to many as HBC 369. A daughter of Simcoe crossed with a Nugget derived male. An excellent aroma variety. Used for: Ales, IPA, Experimental Ales Aroma: Rich in mango, lemon, citrus, pine, and notably, blueberry. Substitutes: Unknown Storage: Good (25% AA after 6 months at 20 C) 11-13.5% AA / 3.2-3.9% Beta"
Motueka,New Zealand,Aroma,7.00,5.25,"Flexible hop developed from Saaz. Has notable character and aroma, balanced bitterness, and unique flavor. Used for: Lagers, Belgian Ales and Bohemian Pilsner. Substitutes: Saaz"
Mount Hood (US),United States,,0.00,0.00,"Soft American variety developed from Hallertau. Frequently used in styles that require only a subtle hop aroma (German/American lagers). Named for Mount Hood in Oregon. Substitutes: Liberty, Hallertau, Crystal."
Mt. Hood,U.S.,Aroma,6.00,6.30,"Used for: European Lagers, finishing Aroma: Mild with a clean aroma, neutral flavor. Somewhat pungent. Substitutes: Hallertauer, Liberty, Crystal"
Nelson Sauvin,New Zealand,Bittering,12.00,7.00,"Triploid variety bred from ""Smoothcone"" released in 2000. Oil profile said to taste like ""fresh crushed gooseberries"" similar to Sauvignon Blanc, giving it its name. Very fruity, citrusy - use in moderation. Used for: Pale ale, Super Premiums. Substitutes: None"
Newport,U.S.,Bittering,13.50,6.00,"High alpha hops released in 2002 as a potential replacement for Galena. Note that these hops have a large alpha range of 9.8%-17% so check the package! Fairly pungent. Used for: Primarily used for bittering in ales, stouts, barley wine. Substitutes: Galena"
Northdown,United Kingdom,Both,8.50,5.50,"Variation of Northern Brewers hops grown in England. Used for: Bittering in English ales Aroma: Good bittering, flavor and aroma Substitutes: Northern Brewer"
Northern Brewer,Germany,Both,8.50,4.00,"Also called Hallertauer Northern Brewers Used for: Bittering and finishing both ales and lagers of all kinds Aroma: Fine, dry, clean bittering hop. Unique flavor. Substitutes: Hallertauer Mittelfrueh, Hallertauer Examples: Anchor Steam, Old Peculiar,"
Nugget,U.S.,Bittering,13.00,5.00,"Used for: Bittering hops for ales Aroma: Strong bittering, heavy, herbal aroma, spicy Substitutes: Chinook Examples: Sierra Nevada Porter"
Nugget (US),United States,,0.00,0.00,"Floral, resiny aroma and flavor. Primarily a bittering hop. Substitutes: Galena, Olympic."
Olympic,U.S.,Bittering,11.50,5.50,"Olympic is a high alpha hops released by Washington Agricultural Expt Station in 1983. Heritage is from Brewers Gold and Fuggles. Aroma: Spicy, citrus aroma Substitutes: Brewers Gold"
Opal,Germany,Aroma,6.50,4.50,New variety from the hop research center in Hull. Used for: Aroma hops in continental styles Aroma: High aroma hops with hints of spice and subtle citrus. Substitutes: Unknown
Orion,Germany,Both,7.25,3.70,"Cross between Perle and an experimental variety Used for: Bittering and aroma Aroma: Pleasant, hoppy Substitutes: Perle"
Pacific Gem,New Zealand,Bittering,15.00,8.20,High alpha smoothcone cross developed at DSIR in 1987. Used for: Bittering - produces a cask-oak woody flavor. Aroma: Pleasant - some blackberry aroma. Substitutes: Bullion
Pacific Jade,New Zealand,Bittering,13.00,7.50,"High alpha bittering hops that delivers a bold herbal infusion of fresh citrus with some black pepper flavor. Citrus aroma and flavor tempers ales and may be used as a finishing hops. Used for: Ales, lagers Substitutes: N/A"
Hop,Origin,Type,Alpha,Beta,Notes
Pacifica,New Zealand,Aroma,5.50,6.00,"Aroma hop developed from Hallertauer Mittelfrueh in New Zealand (1994). Blend of old and new world taste including Orange marmalade and citrus aroma notes when used in late addition. Soft finish if used in bittering. Substitutes: Chinook, Hallertauer Mittelfrueh"
Palisade,U.S.,Both,7.50,7.00,"Also called YCR-4, Palisade is an aroma variety bread by Yakima Chief Ranches. It has both aromatic and moderate bittering properties. Substitutes: Willamette"
Perle,Germany,Bittering,8.00,4.75,"Used for: General purpose bittering for US and German ales, lagers Aroma: Slightly spicy, pleasant aroma, minty Substitutes: Chinook, Galena, Northern Brewer Examples: Sierra Nevada Pale Ale, Pale Bock"
Phoenix,United Kingdom,Bittering,8.00,4.60,"Seedling derived from Wye Yoeman. Used for: Ales Aroma: Similar to Wye Challenger hops Substitutes: Challenger, East Kent Golding, Northdown"
Pilgrim,United Kingdom,Bittering,11.50,4.70,New variety from Wye College in 2001. High Selinene content. Used for: Bittering Substitutes: N/A
Pilot,United Kingdom,Bittering,11.50,3.00,A very new hops introduced in 2002 by Charles Faram & Co Ltd. Mild herbal flavor with lemon hints and fresh mowed grass flavor. Used for: Primarily for bittering in APAs. Rare.
Pioneer,United Kingdom,Both,9.00,3.75,"Bred from Wye Omega at Wye College in the UK Used for: ESB, English Ales Aroma: Mild English hop aroma Substitutes: East Kent Goldings"
Premiant,Czech Republic,Both,7.50,4.50,"A cross between Czech aroma and bittering varieties. Dual purpose though its aroma is not as strong as some other Czech hops. Use in beers where a moderate hoppy aroma is needed. Used for: Moderate ales, lagers Substitutes: Saaz"
Pride of Ringwood,Australia,Bittering,9.00,5.75,"Used for: General purpose bittering hops for Australian beers Aroma: Moderate citric aroma, clean bittering flavor Substitutes: Cluster, Galena"
Progress,United Kingdom,Aroma,6.25,2.10,"Used for: Bittering and aroma in English Ales Aroma: Similar to Fuggles, aromatic, slightly sweet Substitutes: Fuggles"
Riwaka,New Zealand,Aroma,5.25,4.50,"Formerly called B-Saaz, this was developed from old line Saazer hops in New Zealand. Used for: New world pale ale, regional pilsners Aroma: Strong, hoppy. Some grapefruit and citrus character."
Saphir,Germany,Aroma,3.50,4.60,"A new noble breed as an alternative to Hallertau Mittelfrueh in an attempt to make it more disease resistant and commercially viable. Similar in character to Hallertau varieties. Used for: Pilsners, lagers, Belgian whites. Substitutes: Hallertau Mittelfrueh"
Satus,U.S.,Bittering,13.25,8.75,High alpha bittering hops from Yakima that is similar to Galena. Of recent origin. Substitutes: Galena
Select Spalt,Germany,Aroma,4.75,3.50,"Bred from Hallertauer Mittelfrueh and Spalt in Germany. Spalt character. Used for: Lager, Pilsner, Noble aroma hop substitute Aroma: Very fine, spalt aroma Substitutes: Spalter, Saaz, Tettnang"
Simcoe,U.S.,Bittering,13.00,4.50,High alpha bittering hops with good aroma characteristics. Used for: IPAs Aroma: Citrus and pine-like aroma Substitutes: N/A
Sladek,Czech Republic,Aroma,5.00,7.50,"Hybrid variety of Saaz origin with noble hoppy taste and aroma. Generally recommended for middle-hopping about 20 min before end of boil. Not a replacement for Saaz, but complimentary in Lagers. Used for: Lager Substitutes: Saaz"
Sorachi Ace,Japan,Bittering,12.00,6.00,"Developed by Sapporo Breweries and used in their beers - has a Brewer's gold and Saaz heritage. Reported to be lemony in flavor and aroma. Used for: Saison, IPA or other beer where lemon/citrus is desirable. Substitutes: Admiral, Cascade"
Southern Cross,New Zealand,Both,13.00,6.20,"Dual purpose with ""European"" flavor - from DSIR in 1994 Used for: European flavor bittering/aroma Aroma: Spicy, lemony, slight pine and wood flavors Substitutes: N/A"
Spalter,Germany,Aroma,4.50,4.00,"Used for: Traditional German bittering and aroma hops, Altbiers, Lagers Aroma: Mild, pleasant, slight spice Substitutes: Saaz, Tettnang Examples: Dusseldorf Altbiers"
Sterling,U.S.,Both,7.50,5.00,"Flavor is a cross between Saaz and Mt Hood Used for: Lagers, Ales, Pilsners Aroma: Herbal, spicy, some floral and citrus hints Substitutes: Saaz, Polish Lublin"
Sticklebract,New Zealand,Both,13.50,8.00,High alpha hops from DSIR research first released in 1972. Some of the same qualities as Northern Brewer Used for: Dual purpose Aroma: Pine-like with a hint of citrus Substitutes: Northern Brewer
Strisslespalt,France,Aroma,4.00,3.80,"Aroma hops used widely in the Alsace area of France. Used for: Pilsner, lager, wheat Aroma: Medium intensity, pleasant, hoppy Substitutes: Mt Hood, Crystal, Hallertauer Hersbruck"
Styrian Goldings,Slovenia,Aroma,5.40,2.90,"A seedless version of Fuggles grown in Slovenia Used for: Bittering, finishing for a wide variety of European Beers. Popular in Europe and the United Kingdom Aroma: Mild, soft, grassy, floral aroma. Similar to Fuggles. Substitutes: Fuggles, Williamette"
Summit,U.S.,Bittering,17.00,5.00,"High alpha variety bred by American Dwarf Hop Assoc. Can be grown commercially on a low trellis. Aroma: Strong citrus, grapefruit notes. Substitutes: Warrior, Millenium, Columbus, Tomahawk, Zeus"
Sun,U.S.,Bittering,14.00,5.50,"A very high alpha bittering hops from Yakima Valley, Washington Used for: Bittering (intense) Aroma: Pleasant, hoppy Substitutes: Other very high alpha US hops"
Super Alpha,New Zealand,Bittering,13.00,8.00,"High alpha hops released in 1976 by DSIR. European in character - clean crisp flavor and resin aroma. Used for: European Styles, General purpose bittering Aroma: Pleasant, resin like aroma Substitutes: N/A"
Super Galena,U.S.,Bittering,14.50,9.00,Super high alpha hops from Hopsteiner breeding program released in 2006. High alpha and beta content - comparable to Galena in bitterness and aroma profile. Used for: Primarily for bitterness. Substitutes: Galena
Super Pride,Australia,Bittering,14.25,6.70,"A high alpha variation of the Pride of Ringwood hop variety. Features mild aromas, higher alpha content and low cohumulone levels. Used for: Primarily for bittering. Substitutes: Pride of Ringwood"
Target,United Kingdom,Bittering,11.00,5.00,Used for: English ales and lagers Aroma: Robust aroma and flavor Substitutes: East Kent Goldings
Tettnang,Germany,Aroma,4.50,3.50,"Used for: German ales, lagers and wheat beer Aroma: Noble, mild, fine, slightly spicy Substitutes: Saaz, Spalt Examples: Sam Adams Octoberfest, Anderson Valley ESB"
Tillicum,U.S.,Bittering,13.25,9.90,"High alpha and high beta hops developed though Haas breeding program and released in 1995. Daughter variety of Galena and related to Chelan - so similar to both. Substitutes: Galena, Chelan"
Tomahawk,U.S.,Bittering,15.50,4.50,"Part of the Columbus/Tomahak/Zeus (CTZ) group of super high alpha hops. Together these make up 1/4 of US hop acreage. Used for: High alpha hops used primarily for commercial bittering. Substitutes: Tomahawk, Zeus, Nugget, Galena, Chinook"
Topaz,Australia,Bittering,17.00,6.50,Very high alpha hop variety from Australia. Used for commercial production primarily for its high alpha acid content and high bitterness.
Tradition,Germany,Bittering,6.00,4.50,"Close descendant of Hallertauer Mittelfrueh bred for high yield. Used for: Lager, Pilsner, Bock, some Weizens Aroma: Fine - similar to Hallertauer Mittelfrueh Substitutes: Hallertauer Mittelfrueh, Liberty, Ultra"
Ultra,U.S.,Aroma,3.00,3.75,"Triploid seedling of the German Hallertauer Variety Used for: Lager, Pilsner, wheat, finishing hops in ales Aroma: Good to outstanding - some Saaz like qualities Substitutes: Liberty, Hallertauer, Tradition, Saaz"
Vanguard,U.S.,Aroma,5.50,6.00,"Diploid seedling made in 1982, released in 1997. Hallertau Mitterfrueh parentage. Used for: European lagers, ales Aroma: Strong aromatic notes Substitutes: Hallertauer Mittelfrueh"
Victoria,Australia,Bittering,13.00,6.25,"Hi alpha hops grown in Victoria, Australia. It was created in 1976 and entered commercial production in the 1990s. Used for: Primarily for bittering due to high alpha content."
Warrior,U.S.,Both,15.00,4.75,"High alpha hops from Yakima Chief Ranches. Also called YCR-5. Mild aroma and low cohumulone content - primarily for bittering. Used for: Ales, stouts Aroma: Neutral, clean, mild Substitutes: Nugget, Columbus, Magnum"
Whitbread Golding Variety (WGV),United Kingdom,Aroma,6.00,2.50,"Derived in England in 1911 from Bates Brewer. Some Golding characteristics, but lacking the full Goldings aroma. Used for: Ales Aroma: Pleasant, hoppy, slightly intense Substitutes: East Kent Goldings, Progress"
Willamette,U.S.,Aroma,5.50,3.50,"Used for: Finishing American and British Ales Aroma: Mild, grassy, floral, slightly spicy Substitutes: Fuggles, East Kent Goldings Examples: Sierra Nevada Porter, Ballard Bitter"
Zeus,U.S.,Bittering,14.00,5.00,"Super high alpha bittering hops developed in the Yakima Valley, WA Used for: Bittering, intense aroma Aroma: Aromatic, pleasant Substitutes: Other high alpha hops"
